site ,YYMMMDD ,Yyyy,MJD ,week ,d ,reflon ,e0_m,east_m,no_m,north_m,u0_m,up_m ,ant_m,sig_e_m,sig_n_m,sig_u_m,corr_en ,corr_eu ,corr_nu ,latitude_deg,longitude_deg ,height_m
CBIA ,23SEP08 ,2023.6851,60195,2278,5,-147.0,1365,0.955481,6788258,0.734345,714,0.352611,0.0000,0.000643,0.000957,0.002980,-0.121849,0.162763,-0.057095,61.2042988603,-146.9745914247,714.35261
CBIA ,23SEP09 ,2023.6879,60196,2278,6,-147.0,1365,0.956502,6788258,0.735139,714,0.348344,0.0000,0.000634,0.000958,0.003029,-0.108803,0.157168,-0.097624,61.2042988675,-146.9745914057,714.34834
CBIA ,23SEP10 ,2023.6906,60197,2279,0,-147.0,1365,0.958544,6788258,0.734912,714,0.349826,0.0000,0.000661,0.000959,0.003077,-0.123159,0.217581,-0.061910,61.2042988654,-146.9745913677,714.34983
CBIA ,23SEP11 ,2023.6934,60198,2279,1,-147.0,1365,0.954651,6788258,0.732758,714,0.352286,0.0000,0.000639,0.000977,0.003086,-0.112773,0.163920,-0.104197,61.2042988461,-146.9745914402,714.35229
CBIA ,23SEP12 ,2023.6961,60199,2279,2,-147.0,1365,0.957483,6788258,0.733555,714,0.353977,0.0000,0.000701,0.001065,0.003553,-0.021009,0.130508,-0.189524,61.2042988533,-146.9745913875,714.35398
CBIA ,23SEP13 ,2023.6988,60200,2279,3,-147.0,1365,0.957171,6788258,0.732479,714,0.348562,0.0000,0.000644,0.000961,0.003110,-0.093786,0.137810,-0.129900,61.2042988436,-146.9745913933,714.34856
CBIA ,23SEP15 ,2023.7043,60202,2279,5,-147.0,1365,0.958564,6788258,0.732541,714,0.353381,0.0000,0.000650,0.000947,0.003046,-0.122855,0.187289,-0.045364,61.2042988442,-146.9745913674,714.35338
CBIA ,23SEP16 ,2023.7070,60203,2279,6,-147.0,1365,0.959645,6788258,0.730161,714,0.352458,0.0000,0.000647,0.000956,0.003021,-0.112685,0.197726,-0.051791,61.2042988228,-146.9745913473,714.35246
CBIA ,23SEP17 ,2023.7098,60204,2280,0,-147.0,1365,0.956881,6788258,0.727786,714,0.354019,0.0000,0.000647,0.000978,0.003118,-0.102429,0.168278,-0.091133,61.2042988015,-146.9745913987,714.35402
CBIA ,23SEP18 ,2023.7125,60205,2280,1,-147.0,1365,0.959692,6788258,0.727464,714,0.350114,0.0000,0.000652,0.000972,0.003166,-0.080486,0.160130,-0.113609,61.2042987986,-146.9745913464,714.35011
CBIA ,23SEP19 ,2023.7153,60206,2280,2,-147.0,1365,0.960231,6788258,0.726529,714,0.347482,0.0000,0.000779,0.001163,0.003735,-0.046089,0.105775,-0.231877,61.2042987902,-146.9745913364,714.34748
CBIA ,23SEP20 ,2023.7180,60207,2280,3,-147.0,1365,0.960725,6788258,0.729707,714,0.341689,0.0000,0.000643,0.000968,0.003043,-0.113443,0.152068,-0.094690,61.2042988187,-146.9745913272,714.34169
CBIA ,23SEP21 ,2023.7207,60208,2280,4,-147.0,1365,0.962922,6788258,0.729213,714,0.348797,0.0000,0.000663,0.000984,0.003185,-0.101685,0.178633,-0.108084,61.2042988143,-146.9745912863,714.34880
CBIA ,23SEP22 ,2023.7235,60209,2280,5,-147.0,1365,0.961301,6788258,0.728902,714,0.348696,0.0000,0.000640,0.000969,0.003072,-0.106329,0.164034,-0.103357,61.2042988115,-146.9745913165,714.34870
CBIA ,23SEP23 ,2023.7262,60210,2280,6,-147.0,1365,0.960439,6788258,0.726048,714,0.350536,0.0000,0.000644,0.000974,0.003086,-0.086406,0.158859,-0.096748,61.2042987859,-146.9745913325,714.35054
CBIA ,23SEP24 ,2023.7290,60211,2281,0,-147.0,1365,0.961470,6788258,0.724941,714,0.345388,0.0000,0.000631,0.000964,0.003085,-0.107757,0.156737,-0.126301,61.2042987760,-146.9745913134,714.34539
CBIA ,23SEP25 ,2023.7317,60212,2281,1,-147.0,1365,0.958806,6788258,0.726772,714,0.343998,0.0000,0.000643,0.000959,0.003050,-0.117274,0.173666,-0.105225,61.2042987924,-146.9745913629,714.34400
